time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
3.547000,-8.849130,-10.659784,-0.009505,-10.047274,-10.965476,0.000000,-4.000000,-4.000000,0.000000,45.035477,45.951019,46.497292,45.619898,0.264870,-0.000291,-4.000000,0.000000
3.597000,-7.388935,-9.106152,-0.011857,-8.398085,-9.228659,0.000000,0.000000,0.000000,0.000000,45.113298,45.967803,46.398108,45.626001,0.264870,-0.000585,0.000000,0.000000
3.647000,-5.495308,-7.484498,-0.015538,-5.758753,-6.837941,0.000000,5.000000,0.000000,0.000000,45.661097,45.293355,45.839628,46.312657,0.264870,-0.000741,4.000000,0.000000
3.697000,-3.253488,-6.257063,-0.019063,-2.927242,-5.328876,0.000000,9.000000,0.000000,0.000000,46.016632,45.648890,45.487144,45.952544,0.264870,-0.000660,8.000000,0.000000
3.747000,-0.760796,-5.281081,-0.022151,-0.067928,-4.510771,0.000000,13.000000,0.000000,0.000000,45.467308,45.294881,46.041047,46.301976,0.264870,-0.000592,12.000000,0.000000
3.797000,1.946620,-4.469679,-0.024934,3.448182,-3.582873,0.000000,17.000000,0.000000,0.000000,46.219577,46.028840,45.294881,45.561913,0.264870,-0.000539,16.000000,0.000000
3.847000,4.794566,-3.826859,-0.027315,7.059896,-2.786588,0.000000,21.000000,0.000000,0.000000,45.612268,45.626001,45.906767,45.960174,0.264870,-0.000439,21.000000,0.000000
3.897000,7.809975,-3.318386,-0.029304,10.112577,-2.552930,0.000000,25.000000,0.000000,0.000000,45.763333,45.876249,45.761807,45.702296,0.264870,-0.000382,25.000000,0.000000
3.947000,10.993095,-2.866981,-0.031144,13.550466,-1.966394,0.000000,30.000000,0.000000,0.000000,45.603113,45.413901,45.925078,46.163119,0.264870,-0.000347,29.000000,0.000000
3.997000,13.852117,-2.524969,-0.032596,16.556490,-1.506524,0.000000,26.000000,0.000000,0.000000,46.512551,46.369116,45.021744,45.200275,0.264870,-0.000239,27.000000,0.000000
4.047000,15.355597,-2.238180,-0.033303,18.433876,-1.435542,0.000000,22.000000,0.000000,0.000000,46.416419,46.329442,45.128557,45.230793,0.264870,-0.000094,23.000000,0.000000
4.097000,15.752533,-1.991860,-0.033557,18.403534,-1.137155,0.000000,18.000000,0.000000,0.000000,45.745022,45.487144,45.806058,46.066987,0.264870,-0.000019,19.000000,0.000000
4.147000,15.384802,-1.808776,-0.033509,17.393163,-0.894974,0.000000,14.000000,0.000000,0.000000,46.053254,46.155489,45.500877,45.395590,0.264870,0.000027,14.000000,0.000000
4.197000,14.421185,-1.643756,-0.033354,16.163928,-0.734135,0.000000,10.000000,0.000000,0.000000,46.205844,46.056306,45.349813,45.493248,0.264870,0.000040,10.000000,0.000000
4.247000,12.918196,-1.509527,-0.033100,13.793791,-0.765449,0.000000,5.000000,0.000000,0.000000,46.076143,46.013581,45.479515,45.534447,0.264870,0.000052,6.000000,0.000000
4.297000,11.036939,-1.371505,-0.032801,11.119021,-0.656274,0.000000,1.000000,0.000000,0.000000,45.813687,45.622950,45.743496,45.926604,0.264870,0.000064,2.000000,0.000000
4.347000,9.151983,-1.254500,-0.032492,8.761641,-0.509627,0.000000,3.000000,0.000000,0.000000,45.146868,45.133135,46.410315,46.414893,0.264870,0.000052,2.000000,0.000000
4.397000,8.374838,-1.162299,-0.032352,7.829853,-0.522963,0.000000,7.000000,0.000000,0.000000,45.787747,45.801480,45.766384,45.749599,0.264870,0.000019,6.000000,0.000000
4.447000,8.535173,-1.068402,-0.032343,8.132720,-0.457313,0.000000,11.000000,0.000000,0.000000,45.363546,45.496300,46.187533,46.056306,0.264870,-0.000011,11.000000,0.000000
4.497000,9.410325,-0.988352,-0.032414,9.185402,-0.386199,0.000000,15.000000,0.000000,0.000000,45.572595,45.487144,45.978485,46.065461,0.264870,-0.000021,15.000000,0.000000
4.547000,10.864609,-0.913289,-0.032547,10.770040,-0.448135,0.000000,20.000000,0.000000,0.000000,45.491722,45.479515,46.057832,46.074617,0.264870,-0.000032,19.000000,0.000000
4.597000,12.780774,-0.858091,-0.032703,13.005650,-0.261534,0.000000,24.000000,0.000000,0.000000,45.505455,45.484092,46.045624,46.071565,0.264870,-0.000026,23.000000,0.000000
